date,username,retweets,text,mentions,hashtags
2018-08-09 12:20:14,alexariyazz,1,"An email address is like a customer’s “digital fingerprint”.- http://www. emfinity.in / #digitalmarketing #twittermarketing @msdhoni #KeralaFloods #emfinity #emfinity_cbe @Emfinity_IT #heavyrain #Sterlite #Marina4Kalaingar #Trisha #HBDHansika #MSDhoni @imVkohli #loveyourself pic.twitter.com/1H99dumxVN",@msdhoni @Emfinity_IT @imVkohli,#digitalmarketing #twittermarketing #KeralaFloods #emfinity #emfinity_cbe #heavyrain #Sterlite #Marina4Kalaingar #Trisha #HBDHansika #MSDhoni #loveyourself
2018-08-09 12:17:51,mavel1991,0,"Authorities are not even bothered about us right? #KeralaFloods #IdukkiDam #SaveLives",,#KeralaFloods #IdukkiDam #SaveLives
2018-08-09 12:16:19,Oneindia,1,"Kerala floods: NDRF teams deployed for rescue ops, death toll rises to 20 #KeralaFloods #keralarains #KeralaRain https://www. oneindia.com/india/kerala-f loods-update-water-is-flowing-into-the-operational-area-of-kochi-international-airport-2752769.html?utm_campaign=writer-share&utm_source=Chennabasaveshwar-promo&utm_medium=social …",,#KeralaFloods #keralarains #KeralaRain
2018-08-09 12:16:06,ytabloid,0,"22 dead as rain pounds Kerala, Kochi airport resumes flight operations. https:// bit.ly/2AW4BPx #KeralaFloods",,#KeralaFloods
2018-08-09 12:09:44,down2earthindia,6,"Kerala received 316% more rainfall than normal on August 8 @Aks7489 #KeralaRain #KeralaFloods https:// goo.gl/87VVHR",@Aks7489,#KeralaRain #KeralaFloods
2018-08-09 12:08:00,abhimanyuraohry,12,"Anguished to hear of the death of more than 18 people in heavy rains & landslides in #KeralaFloods . My thoughts are with the families of the deceased. @RahulGandhi @officekiran @IYC @priyankac19 @Radhika_Khera @INCIndia @KumariRukshmani @RanjanaINC @INC_obc @INCIndia pic.twitter.com/3MzyMYBGfO",@RahulGandhi @officekiran @IYC @priyankac19 @Radhika_Khera @INCIndia @KumariRukshmani @RanjanaINC @INC_obc @INCIndia,#KeralaFloods
2018-08-09 11:59:36,TheWeekLive,2,"Chief Minister Pinarayi Vijayan said the new dates of #NehruTrophy boat race will be announced later #KeralaFloods #TheWeek @TheWeekLive https://www. theweek.in/news/india/201 8/08/09/Kerala-floods-Nehru-Trophy-boat-race-postponed.html …",@TheWeekLive,#NehruTrophy #KeralaFloods #TheWeek
2018-08-09 11:59:06,Amitmsd1999,0,"#KeralaFloods pinrayi vijyan & kamal Hassan will definately have a cup of tea to discuss this issue",,#KeralaFloods
2018-08-09 11:55:30,bsindia,4,"At least 22 people, including 10 in #Idukki district have died due to heavy rains and landslides in #Kerala . #KeralaFloods #KeralaRains @gireeshb80 https:// mybs.in/2VpAoEo",@gireeshb80,#Idukki #Kerala #KeralaFloods #KeralaRains
2018-08-09 11:53:30,ZeeNews,18,"#KeralaFloods : Over 100 houses vacated, boats used to evacuate people from low-lying areas - Watch http:// zeenews.india.com/kerala/kerala- floods-over-100-houses-vacated-boats-used-to-evacuate-people-from-low-lying-areas-watch-2131807.html …",,#KeralaFloods
2018-08-09 11:50:20,vigneshmurali09,2,"I humbly request all the people of Kerala to be safe. Follow the instructions of the authorities in charge and make sure you're away from the red alert zone. Remember, ""safety first!"". #keralarains #KeralaFloods #rain #floods #IDUKKIDAM #Kerala",,#keralarains #KeralaFloods #rain #floods #IDUKKIDAM #Kerala
2018-08-09 11:50:15,velmurugan38,0,"#KeralaFloods Guys Be aware and safe...",,#KeralaFloods
2018-08-09 11:45:02,azeez_offcl,31,"District helpline numbers #KeralaFloods #Keralarains https://twitter.com/AVFOTeam/status/1027508533003091968/photo/1 pic.twitter.com/hJvJuZhhKK pic.twitter.com/Tlx7QNxEhi",,#KeralaFloods #Keralarains
2018-08-09 11:44:07,name_is_Sana,7,"#Keralarains : Over 20 dead in landslide and floods, 22 dams opened simultaneously... #KeralaRains the following are d District Control Room Numbers... #KeralaFloods share max ... pic.twitter.com/F89fDCUisN",,#Keralarains #KeralaRains #KeralaFloods
2018-08-09 11:40:35,name_is_Sana,75,"As many as 11 people 're reported dead in Idukki district, 6 in Malappuram, 2 in Kozhikode n 1 in Wayanad #Keralarains 22 dams opened simultaneously As precaution Cochin InternationalAirport suspends all landing activities frm 1pm 2day owing to d rains #KeralaFloods #Kerala pic.twitter.com/GE8dQYvpTm",,#Keralarains #KeralaFloods #Kerala
2018-08-09 11:38:20,manasvi_s,0,"damage caused due to #KeralaFloods mainly attributed to encroachment by missionary churches at various hills and rural places. required stern action against them. #kerala #church",,#KeralaFloods #kerala #church
2018-08-09 11:36:24,imbindassM,0,"FOLLOW ALL UPDATES HERE. #KeralaFloods fury: 20 deaths in a day; highly alarming situation, says CM Pinarayi Vijayan https:// goo.gl/azHLS5 via @NewIndianXpress",@NewIndianXpress,#KeralaFloods
2018-08-09 11:35:09,RapidResponse,7,"#KeralaFloods : BePrepared & StaySafe. #KeralaRains #KeralaFlood #KeralaRain #Kerala #Palakkad #Kochi #kochiairport #FloodPreparedness pic.twitter.com/AoHZbb93Ne",,#KeralaFloods #KeralaRains #KeralaFlood #KeralaRain #Kerala #Palakkad #Kochi #kochiairport #FloodPreparedness
