,date,username,retweets,text,mentions,hashtags
96,9/5/2018 9:58,ShashiTharoor,72,"My interview with of on the KeralaFloods, social media & the challenge of reconstruction as we RebuildKerala:  â¦",@fayedsouza @MirrorNow,#KeralaFloods #RebuildKerala
99,9/4/2018 9:27,ShashiTharoor,141,So good to see people from all over India coming together to help victims of the KeralaFloods. And thanks to my colleagues & Fellows of for doing so much to collect and despatch relief materials. â¦,@ProfCong,#KeralaFloods
101,9/4/2018 5:01,pGurus1,116,Big fraud by Marxist govt in Kerala in the pretext of flood relief and reconstruction drive. Keralafloods â¦,@rvaidya2000https,#Keralafloods
102,9/3/2018 14:33,MyFellowIndians,218,"Germany: Pl accept 990 crores as help towards KeralaFloods: NO, we don't take help from foreign countries, but we do need some money for cleaning up Ganga.. if you don't mind.pic.twitter.com/LFx6eC8HPO",@narendramodi,#KeralaFloods
103,9/3/2018 6:40,IYC,167,Relief work in Kerala is ongoing as slowly but steadily lives are being restored to normalcy. IYC National Vice President Sh. & Youth Congress teams are striving daily to help the KeralaFloods victims. We urge all of you to make your contribution as well. pic.twitter.com/NFLXaPLMOM,@srinivasiyc,#KeralaFloods
107,9/2/2018 4:14,SnehaMKoshy,32,"Kerala CM Pinarayi Vijayan leaves for his medical treatment at Mayo clinic (U.S.) early today morning, according to sources. He was supposed to leave on 19th Aug but postponed that due to the keralafloods. Wishing him good health.",@CMOKerala,#Kerala #keralafloods
108,9/2/2018 3:31,RRP_Malayil,68,Picture 1. DYFI members cleaning the memorial of Martyr Cheriyanadu Sivaraman. Picture 2. Later photo ops by shameless /Seva Bharati members with ibid memorial and circulating it on social media. Professionals !!! KeralaFloods pic.twitter.com/A2iTPqIYDB,@RSSorg,#KeralaFloods
109,9/2/2018 2:12,satishacharya,273,God's own country! cartoon KeralaFloodsRelief KeralaFloods pic.twitter.com/5h8GKquTFZ,@newssting1,#KeralaFloodsRelief #KeralaFloods
120,8/30/2018 5:58,Naveen_Odisha,128,"Happy to share that Odisha sent a contingent of 25 highly skilled ITI Training Officers, ATOs & students, under aegis of, to Ernakulam for repair & restoration. Best wishes for SkilledInOdisha to bring positive change in lives of people affected in KeralaFloods. pic.twitter.com/19mbSH1nuf",@SDTE_Odisha,#Odisha #Ernakulam #SkilledInOdisha #KeralaFloods
121,8/30/2018 0:15,QasimRashid,469,Quran commands Muslims to protect churches & Prophet Muhammad (sa) taught Muslims to repair damaged churches Proud of my fellow Ahmadi Muslims repairing Christian churches damaged by KeralaFloods w/ This wont make headline news âbut you can share w/your circlepic.twitter.com/zoPvV3L0rM,@HumanityFirstIN,#KeralaFloods
123,8/29/2018 16:26,SPEAKTRUTH108,705,"Few mins before came, SEVADAL Volunteers manifested acting to do Seva just to be in the photo/video with RahulGandhi ,but, the local people asked them to leave saying they donât want PHOTO-workers! ( KeralaFloods pic.twitter.com/XETBlIogXq",@RahulGandhi @INCIndia @divyaspandana @surnell @republic @TimesNow,#RahulGandhi #KeralaFloods
124,8/29/2018 16:23,ShashiTharoor,250,"And your presence in Kerala at this time,, is proof that the spirit of solidarity in our India shall also emerge victorious! Thanks for coming all the way from Kashmir to help in the KeralaFloods!  â¦",@salmanNizami_,#KeralaFloods
126,8/29/2018 13:55,Payal_Rohatgi,36,Payal Rohatgi answer to those trolling her on her views on keralafloods  via payalrohatgipic.twitter.com/RLhPmsPm1q,@YouTube,#keralafloods #payalrohatgipic
135,8/29/2018 6:13,INCKerala,116,Under the leadership of President Shri. Kerala PCC decided to build 1001 houses for the people who lost their homes in KeralaFloods RebuildingKeralapic.twitter.com/Z70SDFf5Yo,@INCIndia @RahulGandhi @INCKerala,#KeralaFloods #RebuildingKeralapic
139,8/28/2018 15:41,ShashiTharoor,86,"Met with the team assessing the situation after the KeralaFloods. Good to see so many top-notch professionals in action (all Indians, by the way) pic.twitter.com/2qC48Ab589",@UN,#KeralaFloods
141,8/28/2018 13:36,shubhpilot,47,The Son Of India . With People Of Keralafloods pic.twitter.com/MdZXFZHOjq,@RahulGandhi,#Keralafloods
145,8/28/2018 8:31,AamAadmiParty,114,The Chairpersons of Delhi Co-operative Housing Finance Corporation Limited(DCHFCL) & Delhi Consumers Cooperative Wholesale Store (DCCWS) handed over cheques of â¹50 Lakhs & â¹9.51 Lakhs respectively to the Chief Minister for KeralaFloods. pic.twitter.com/XQGAEk5AIo,@ArvindKejriwal,#KeralaFloods
150,8/28/2018 2:56,AjitPawarSpeaks,57,The devastation caused by the KeralaFloods should serve as a warning bell for all of us. should speed up the process to bring the State on board for the Eco-Sensitive Area (ESA) draft before any other calamity occurs. SaveWesternGhats ,@CMOMaharashtra,#KeralaFloods #SaveWesternGhats
155,8/27/2018 17:17,ShashiTharoor,70,Video of my remarks on the KeralaFloods on the Telethon (which raised 10.5 crores for the cause!):  â¦,@NDTv,#KeralaFloods
157,8/27/2018 16:11,Forumkeralam1,57,Dr Manmohan Singh accepts the challenge by and donated a month's salary of his to the CMDRF He has also donated 1cr from his MP fund Thanks sir KeralaFloods RebuildKerala,@CMOKerala,#KeralaFloods #RebuildKerala
161,8/27/2018 13:53,RajivMessage,2964,"HYPOCRISY! When environmentalists complained against activity on Jamuna, the media attacked. But when environmentalists reported against Church for far greater destruction leading to KeralaFloods the MediaMafia wont dare touch it. â¦",@ArtofLiving @SriSri,#KeralaFloods #MediaMafia
164,8/27/2018 11:32,ShobhaBJP,712,"6/7/2016 - When PM Sri went to Israel,Kerala CM calls it a terrorist state 21/8/2018 - Israel sends 1st foreign aid to KeralaFloods victims but same day Kerala CM thanks UAE for aid which never came But yet to say a word of thanks to Israel VoteBankPoliticspic.twitter.com/9Ld0PkOTYr",@narendramodi,#KeralaFloods #Israel #VoteBankPoliticspic
166,8/27/2018 10:19,excomradekerala,68,"Kudos to for paying back to CPM Minister Kudampuli Sura who insulted our ArmedForces. Without invitation, this Commie moron attended a farewell ceremony organised for soldiers who saved thousands in KeralaFloods While others were welcomed, nobody even wished Commie Sura pic.twitter.com/6Gov0KXb9z",@IAF_MCC,#KeralaFloods
171,8/27/2018 3:55,ShashiTharoor,562,Spent half an hour debriefing Chief Minister â¦© at his home last night on my discussions in Geneva. We spoke in detail about the way forward for the state after the KeralaFloods. Agreed on the need to RebuildKerala in a way that such a tragedy wonât recur. pic.twitter.com/NyuiyKzu1c,@vijayanpinarayi,#KeralaFloods #RebuildKerala
172,8/27/2018 3:48,ShashiTharoor,105,"Before hundreds of volunteers at the Nishagandhi temporary relief collection&distribution centre, spoke briefly about the overall crisis to as part of's telethon in aid of the Keralafloods pic.twitter.com/VK3Ge2zWzQ",@AmitojNDTV @ndtv,#Keralafloods
173,8/26/2018 18:29,IndiaCoastGuard,60,KeralaFloods2018 OPRAHAT Kerala govt pays tribute to Armed Forces for Relief & Rescue work during KeralaFloods at a Thanks Giving Ceremony this evening . Hon'ble CM handed over a Commemorative Plaque to Kerala&Mahe Commander DIG Sanatan Jena.pic.twitter.com/YNYn56o7QX,@vijayanpinarayi @IndiaCoastGuard,#KeralaFloods2018 #OPRAHAT #Kerala #KeralaFloods
178,8/26/2018 15:29,RavinarIN,45,LOL! is like those cops in Bollywood movies... they will arrive exactly at the moment when all action is OVER... KeralaFloods  â¦,@RahulGandhi,#KeralaFloods
192,8/26/2018 1:18,pathan_sumaya,92,"Kerala Flood Relief from AIMIM dispatched to Thiruvananthapuram , Kerala through Air India. AIMIMReliefForKerala KeralaFloodRelief KeralaFloods Kerala.twitter.com/kbRs5H28tv",@asadowaisi @AIMIM_faraaz @mir19in @CMOKeralapic,#AIMIMReliefForKerala #KeralaFloodRelief #KeralaFloods #Kerala
194,8/25/2018 16:41,pradip103,87,"Lie: Arnab Goswami insulted people of Kerala by calling them shameless. Handle spreading falsehood: Truth: ""People of Kerala have been physically vulnerable and pyschologically resilient. They have shown how great they have been as people"". KeralaFloods Keralapic.twitter.com/4S17HEOuWP",@Advaidism,#KeralaFloods #Keralapic
199,8/25/2018 11:36,abhijitmajumder,141,"While Kerala victims suffer and Pinarayi Vijayan wants Saudi money for KeralaFloods relief, he gave NCP leaderâs family Rs 25 lakh without prior or formal application! â¦© reports in â¦© â¦",@PratibaRaman @MyNation,#KeralaFloods
200,8/25/2018 10:19,ProfCong,69,We wish you all a HappyOnam. We salute the heroism and courage of the people who helped save lives during the KeralaFloods also wants to thank our fellows across the country for their support and efforts to assist with KeralaFloodRelief We Are Stronger Together.,@ProfCong,#HappyOnam #KeralaFloods #KeralaFloodRelief
202,8/25/2018 6:17,SwatiSaxena1231,76,"Motivated efforts by citizens and even global community have shown how efforts and intentions of people can come together in times of need, and how principles of harmony and unity continue to thrive. I write on KeralaFloods â¦",@GetNewsdhttps,#KeralaFloods
204,8/25/2018 6:06,JhaSanjay,316,"Dear Ms : Politics is about public service, not some pathetic ceremonial protocol about who speaks first, who gets the PR. And that too amidst the anguish of KeralaFloods where your government has been found wanting. This is political arrogance at its lowest ebb.",@nsitharaman,#KeralaFloods
213,8/25/2018 1:48,AOLSwamiji,177,"Today is ONAM..Prayers for those who lost lives & thousands who are affected. No Words to mention the services by,Central & State Govt agencies , fishermen& NGOs including Volunteers. Let us join hands to RebuildKerala ... KeralaFloods",@adgpi @ArtofLiving,#RebuildKerala #KeralaFloods
218,8/24/2018 16:56,AamAadmiParty,268,AAP MP donates â¹1Cr from MPLAD fund & adopts a village in Ernakulam District in flood hitted Kerala. KeralaFloods Donate4Keralapic.twitter.com/GhypkGCdzR,@SanjayAzadSln,#KeralaFloods #Donate4Keralapic
221,8/24/2018 15:32,AshwiniBJP,146,"Delhi already has One Miracle Man, none other than Ji and don't need another. Why not this Miracle Man is visiting KeralaFloods area Ji?pic.twitter.com/3lWfuuFx05",@ArvindKejriwal @msisodia,#KeralaFloods
227,8/24/2018 13:18,ByRakeshSimha,176,FakeNews champion at it again. There was absolutely no aid offered to India by the UAE government. The level of hatred for India and Hindus among left liberal Westerners is appalling. KeralaFloods  â¦,@nytimes,#FakeNews #KeralaFloods
229,8/24/2018 12:30,theskindoctor13,517,"Khalifa Bin Zayed (President, UAE) calling, CM of Kerala to offer â¹700 Cr relief for Kerala floods. (21 Aug 2018). FoodAidLie KeralaFloods pic.twitter.com/FEzolG0tGa",@vijayanpinarayi,#FoodAidLie #KeralaFloods
231,8/24/2018 10:37,YRDeshmukh,62,"Meanwhile, the first ever office of, which has now been converted into a warehouse for is just overwhelmed with material donations for Keralafloods . The volunteers have been working 24x7 in arranging, cataloging and sending all this down South. pic.twitter.com/NqB2AV0CSn",@CvoterIndia @udayfoundation,#Keralafloods
234,8/24/2018 9:40,RaviSinghKA,505,Great to see Bollywood star travelling to Kerala to join our team & serve those affected by the floods. God Bless bro ... KeralaFloods pic.twitter.com/dQ4PBTEAfJ,@RandeepHooda @Khalsa_Aid @KapilSharmaK9,#Kerala #KeralaFloods
237,8/24/2018 8:49,ShashiTharoor,461,Should India accept foreign aid for the KeralaFloods? My analysis of the policy issues in :  â¦,@TheQuint,#KeralaFloods
239,8/24/2018 8:21,MahilaCongress,241,. Pres Smt. Lathika Subhash leading the Kerala PMC members' efforts to rehabilitate KeralaFloods victims by giving them essential items. We urge all of you to contribute and extend help to the people of Kerala. pic.twitter.com/LcyLRioRmX,@KeralaPMC,#KeralaFloods
240,8/24/2018 7:47,CNNnews18,62,BREAKING -- IT cell head's shocking attack on Kerala govt: 'Communist-Islamist nexus in Kerala celebrates the non-existent offer from a foreign country' KeralaFloods pic.twitter.com/AaaXHhoSWM,@BJP4India @amitmalviya,#BREAKING #KeralaFloods
241,8/24/2018 7:14,RavinarIN,184,"Cong-Commie fakesters are the biggest cheats on earth... They do nothing... get things from elsewhere.... puts Sonia/Rahul pics on the packs... puts ""Made by Commies"" stamp... Both are like ""Made by Ulhasnagar""... KeralaFloods.twitter.com/7RGdCzh5Gz",@INCIndia @cpimspeak @Timesnow @Republic @Indiatodaypic,#KeralaFloods
242,8/24/2018 6:56,eOrganiser,127,Tens of thousands of Swayamsevaks are engaged in post-flood relief activities in flood hit Chengannur and Aranmula. SevaBharati volunteers cleaning the house of a CPM leader in Chengannur RSSinAction RSSinKerala KeralaFloods KeralaFloodReliefpic.twitter.com/b64rWSJJxw,@RSSorg,#SevaBharati #RSSinAction #RSSinKerala #KeralaFloods #KeralaFloodReliefpic
244,8/24/2018 6:07,IYC,224,IYC National President Sh. & National Vice President Sh. are leading from the front along with members to rehabilitate KeralaFloods victims by giving them essential items. We urge all of you to contribute in helping the people of Kerala. pic.twitter.com/zgblacEJoD,@keshavyadaviyc @srinivasiyc @IYCKerala,#KeralaFloods
246,8/24/2018 6:02,RavinarIN,87,Dumpkopfs of made bogus claims of UAE 700 cr aid for KeralaFloods... Turns out... this was nothing but a concoction of these parties.. and their media stooges like... Dinosaur EGGS on all their faces...,@INCIndia @cpimspeak @SagarikaGhose @Shekhargupta,#KeralaFloods
255,8/23/2018 19:59,ShashiTharoor,101,My interview w/ (incl an exchange with BJP spokesman) on accepting foreign aid for the Keralafloods :  â¦,@sardesairajdeep @gauravbhatiabjp,#Keralafloods
256,8/23/2018 19:46,attorneybharti,73,Thx to residents of my constituency n all my friends who donated materials for KeralaFloods victims received today morning by volunteers for further distribution to the needy! Proud of all the individuals who made this possible. We will continue sending further. pic.twitter.com/qXwf5ZBqeZ,@AAP_Kerala,#KeralaFloods
259,8/23/2018 16:59,Sanju_Verma_,327,". Why was MadhavGadgil report not executed? Why were shutters of 44 dams opened simultaneously,without prior alert? Did give orders to KSEB to open the shutters&if yes,will resign? KeralaFloods,a man made disaster,say experts!",@vijayanpinarayi @CMOKerala @vijayanpinarayi,#MadhavGadgil #KSEB #KeralaFloods
266,8/23/2018 15:40,madversity,330,"Plain translation of KJ Alphonse interview to : ""My state wants loads of money. Don't embarass me by cornering me on rejected UAE aid. I will be rogered if I oppose my leader."" KeralaFloods",@sardesairajdeep,#KeralaFloods
271,8/23/2018 15:19,DrGPradhan,532,1 TRUTH about 700 Cr Air for KeralaFloods from UAE Govt Shri Sir on August 21 in a press conf claimed that UAE offered 700Cr Aid This is THE official statement from UAE on August 20th  â¦pic.twitter.com/uCrBEQLKU7,@CMOKerala @vijayanpinarayi,#KeralaFloods
274,8/23/2018 14:07,UNICEFIndia,58,We commend the incredible efforts of govt. and people across India to the rescue and KeralaFloodsRelief. As the KeralaFloods subside there will be even more efforts required to rebuild back better. is focusing its support to existing govt. programmes ForEveryChildpic.twitter.com/86w7ONCT6Y,@UNICEF,#India #KeralaFloodsRelief #KeralaFloods #ForEveryChildpic
275,8/23/2018 14:04,Vijaysm_Kerala,210,Just Now MediaOne Malayalam News Channel About Lorries Which Thalapathy Send As Helping To Kerala. Keralafloods KeralaFloodReliefpic.twitter.com/Vd6WEfZc0r,@Actorvijay,#MediaOne #Keralafloods #KeralaFloodReliefpic
276,8/23/2018 13:42,rebuild_kerala,80,Could give one single explantion or reason to validate how 4000 crore for a statue is important than 700 crore for flood relief? LetKeralaLive KeralaFloods,@narendramodi,#LetKeralaLive #KeralaFloods
282,8/23/2018 11:34,Provipressmedia,141,Breaking : Donates 8crs For Kerala! KeralaFloods . Great Gesture..,@SathyaJyothi_,#Breaking #KeralaFloods
283,8/23/2018 11:28,PrakashJavdekar,187,"There has been unprecedented devastation in Kerala due to floods . I have donated 1 monthâs salary to PMâs National Relief Fund. I appeal to all employees of , Univ/College teachers & employees to donate atleast a day's salary for relief & rehab work. KeralaFloods pic.twitter.com/Ucv3bx4Hoo",@HRDMinistry,#Kerala #KeralaFloods
284,8/23/2018 11:04,IYC,183,"IYC National President Sh. and National Vice President Sh. are leading the relief work along with IYC teams from the front in Ernakulam, Kerala. We urge everyone reading this to also make your contribution to help the victims of the KeralaFloods. pic.twitter.com/Z1trfI1U2d",@keshavyadaviyc @srinivasiyc,#KeralaFloods
